id,title,price,thumbnail,duration,description_list,category,rating,likes,created_date,edited,summary,author_id
9,떡볶이,1203,blog/2020/12/04/temp_R7HyYzE.png,30,"[""설탕3스푼, 고추장2스푼, 간장2스푼, 고춧가루 1.5스푼을 넣고 잘섞어줍니다"", ""떡볶이를 먹기 좋은 크기로 썰어주세요."", ""어묵과 대파도 먹기 좋은 크기로 썰어주세요."", ""냄비에 재료들을 넣고, 양념도 넣어줍니다."", ""물 두 컵을 넣고 끓여줍니다. ""]","[""Korean""]",0,0,2020-12-04,,"백종원 떡볶이 황금레시피.
출처: https://brunch.co.kr/@ssuujin/10",15
10,만두국ㄷ,1049,blog/2020/12/08/temp.png,30,"[""냄비에 물을 받아 국간장과 다진 마늘을 넣고 끓여줍니다. 물 대신 육수를 넣어도 좋습니다."", ""떡을 넣고 끓이고, 만두도 넣어줍니다. "", ""만두가 익으면 몇개는 터트려 육수가 우러나오게 합니다. \n계란을 넣고, 대파와 참기름을 넣어 감칠맛을 더해줍니다. 완성!""]","[""Korean""]",0,0,2020-12-04,,"육수없이 끓이는 초간단 만두국
출처: https://ddongri.tistory.com/120",15
4,떡국,3840,blog/2020/12/03/temp_DPaf0ty.png,45,"[""우선 떡은 물에 불려서 준비합니다대략 20~30분 정도 불려주면 좋은데 만들기 전에 가장 먼저 물에 넣어서 불려주면 됩니다 "", ""대파는 먹기 좋은 크기로 잘라서 준비합니다!!대파의 양은 적당량이긴 한데 한 줌 정도 잘라서 준비하면 될 것 같아요 "", ""특이하게 백종원소고기 떡국 끓이는법에서는 참기름 외에 비법의 기름이 들어가는데 바로 식용유랍니다\n식용유 1스푼, 참기름 한스푼을 넣어서 고기랑 같이 볶아줍니다."", ""이제 물을 넣어줘야 하는데요물의 양은 떡국 양의 3배 정도~ 너무 많지도 적지도 않게 넣어주시면 될 것 같아요. \n약불로 20-30분 끓여주세요!"", ""떡을 넣고 난 뒤 강불로 해서 끓여줍니다 떡을 불려서 그런지 오래 끓이지 않고도 빨리 익기 시작했어요.\n간은 국간장 2스푼을 넣고 줍니다그리고 다진 마늘 1스푼을 넣어줍니다 "", ""마지막으로 계란과 대파를 넣고 후추를 2번 톡톡 뿌려줍니다""]","[""Korean""]",0,0,2020-12-04,,"백종원의 떡국 레시피.
출처: https://brunch.co.kr/@ssuujin/31",15
1,카레라면,704360,blog/2020/12/03/temp.png,3,"[""끓여~"", ""또 끓여~""]","[""Korean""]",0,1,2020-12-03,,맛잇어요,11
17,냉동만두 볶음밥,1519,blog/2020/12/04/temp_lZquTZp.png,20,"[""계란은 풀고, 만두는 피와 속을 분리했어요 \n식용유  두른 팬에 한쪽엔 대파와 다른 한쪽엔 계란을 넣고 계란은 스크램플해요 "", ""팬에 만두속과, 밥을 넣고 볶아요. 굴소스와 간장, 참기름도 넣습니다. ""]","[""Korean""]",0,0,2020-12-04,,"볶음밥레시피. 냉동만두를 이용한 초간단 만두볶음밥 만들기


출처: https://happytime.tanz.xyz/entry/볶음밥레시피-냉동만두를-이용한-초간단-만두볶음밥-만들기 [우리들의 행복한 시간]",15
19,두부조림,3340,blog/2020/12/04/temp_z1EWTSz.png,15,"[""팬에 식용유를 넉넉하게 둘러주고 두부를 구워줍니다."", ""양념에 들어갈 파는 잘게 썰어서 준비합니다. 저는 대파를 잘게 썰어서 준비했어요.\n홍고추 1개, 청고추 1개를 잘게 썰어서 준비합니다."", ""양파는 반개를 썰어서 준비합니다. 김수미 두부조림은 특이한 점이 있다면 양념에 양파를 넣는 것이 아니라 양파만 살짝 익혀서 나중에 두부조림 위에 올려주는 것이 특징이랍니다, 양파의 아삭함을 느낄 수 있어서 개인적으로 맛있는 것 같아요!""]","[""Korean""]",0,0,2020-12-04,,수미네반찬 두부조림 황금레시피!,15
27,메추리알 장조림,3000,blog/2020/12/04/temp_H8cAkEw.png,30,"[""메추리알을 삶아줍니다. "", ""메추리알을 까줍니다. "", ""메추리알을 조립니다. ""]","[""Korean""]",0,0,2020-12-04,,"메추리알 쉽게 까는법 : 새송이버섯 메추리알 장조림
출처: https://brunch.co.kr/@ssuujin/75",15
20,고구마 맛탕,1020,blog/2020/12/04/temp_9l8Lwya.png,25,"[""먹기 좋은 크기로 잘라주는데요. 이렇게 아래의 사진처럼 동글동글하면서 한 입 크기로 잘라줍니다.\n바로 튀겨도 되지만 전분기를 빼려고 찬물에 10분 정도 담가주었어요. 그럼 튀겼을 때 더욱더 바삭한 것 같아요 :)\n커다란 팬에 종이컵으로 2컵 정도의 기름을 넣고 고구마를 넣고 튀겨줍니다. 기름은 좀 더 줄여도 상관없을 것 같아요"", "". \n이제 고구마맛탕 만들기의 마지막 소스와 함께 버무려줘야겠죠? 우선 팬에 식용유 1스푼을 넣어줍니다. 그다음 올리고당 3스푼과 설탕도 넣어줍니다."", ""소스와 고구마가 잘 어우러지도록 잘 저어줍니다. 코팅이 되어서 그런지 반질반질 된 모습이 보이죠?""]","[""Korean""]",0,0,2020-12-04,,"고구마 요리 고구마 맛탕 쉽게 만들기
https://brunch.co.kr/@ssuujin/63",15
23,오뎅볶음,2392,blog/2020/12/04/temp_pHSdNOT.png,30,"["" 재료는 비교적 간단해요 어묵이랑 그리고 야채는 당근, 양파, 대파 양념은 집에 있는 재료로 이용하면 될 것 같습니다. ""]","[""Korean""]",0,0,2020-12-04,,백종원 오뎅볶음 간단하게 만드는 어묵볶음 황금레시피,15
21,라볶이,2418,blog/2020/12/04/temp_HeXMnfI.png,20,"[""라면과 떡, 어묵, 양파, 대파를 제외한 모든 양념들을 섞어 양념장을 만듭니다."", ""냄비에 양념장과 물을 넣어 끓이고 나머지 재료를 넣습니다. ""]","[""Korean""]",0,0,2020-12-04,,"백종원 라볶이
출처: https://brunch.co.kr/@ssuujin/73",15
